job_role,required_skills,min_experience,preferred_tools,avg_salary,domain,company,latitude,longitude,apply_link
Data Analyst,"SQL, Excel, Python, Tableau, Power BI, Statistics",0-2 Years,"Tableau, Power BI",60000,Data Science,Accenture,13.092420874021354,77.50804319709529,https://linkedin.com/jobs/
Data Scientist,"Python, Machine Learning, Deep Learning, SQL, TensorFlow, PyTorch",2-5 Years,"Jupyter, AWS",95000,Data Science,Goldman Sachs,13.07894857439524,77.42082793989368,https://linkedin.com/jobs/
Software Engineer,"Java, Spring Boot, SQL, REST APIs, Microservices, Git",1-3 Years,"IntelliJ, Docker",85000,Software Development,Swiggy,13.068349979282086,77.54960087449082,https://linkedin.com/jobs/
Frontend Developer,"HTML, CSS, JavaScript, React, Redux, Tailwind CSS, TypeScript",1-3 Years,"VS Code, Figma",75000,Software Development,Swiggy,13.062662761887664,77.75114107293425,https://linkedin.com/jobs/
Backend Developer,"Node.js, Express, MongoDB, SQL, Python, Django, AWS",2-4 Years,"Postman, Docker",88000,Software Development,Flipkart,13.086400072457394,77.63646388743734,https://linkedin.com/jobs/
DevOps Engineer,"Data Structures, Docker, Kubernetes, Jenkins, AWS, Terraform, Linux",3-5 Years,"Docker, AWS",105000,Infrastructure,Microsoft,13.060497989117167,77.50676977322397,https://linkedin.com/jobs/
Product Manager,"Product Strategy, Agile, Scrum, Jira, Roadmap Planning, Communication",4-6 Years,"Jira, Confluence",110000,Product,Swiggy,13.030831214570933,77.614983210767,https://linkedin.com/jobs/
UI/UX Designer,"Figma, Adobe XD, Prototyping, User Research, Wireframing",1-3 Years,"Figma, Sketch",70000,Design,Flipkart,13.03580534074964,77.47930471136465,https://linkedin.com/jobs/
Machine Learning Engineer,"Python, MLOps, Scikit-Learn, Docker, Kubernetes, SQL",2-5 Years,"Kubeflow, AWS",100000,Data Science,Swiggy,12.91336254405322,77.4353452854717,https://linkedin.com/jobs/
Full Stack Developer,"JavaScript, React, Node.js, SQL, MongoDB, AWS, Git",2-5 Years,"VS Code, Docker",95000,Software Development,Goldman Sachs,13.109351555711783,77.547447376601,https://linkedin.com/jobs/
Cybersecurity Analyst,"Network Security, Firewalls, Python, Linux, SIEM, Risk Assessment",2-4 Years,"Wireshark, Splunk",90000,Security,Wipro,12.98655673083322,77.56307707028084,https://linkedin.com/jobs/
Cloud Architect,"AWS, Azure, Google Cloud, Networking, Security, Architecture Patterns",5-8 Years,"AWS Console, Terraform",130000,Infrastructure,Google,12.845058484324888,77.41482655205407,https://linkedin.com/jobs/
Mobile App Developer,"Swift, Kotlin, React Native, iOS, Android, Flutter",1-4 Years,"Xcode, Android Studio",82000,Software Development,Amazon,12.835674729142674,77.45511942565457,https://linkedin.com/jobs/
QA Engineer,"Selenium, Java, Python, Manual Testing, Automation, JIRA",1-3 Years,"Selenium, JIRA",65000,Quality Assurance,Microsoft,12.917067001365519,77.66691711884668,https://linkedin.com/jobs/
Business Analyst,"SQL, Excel, Data Visualization, Requirement Gathering, Communication",2-4 Years,"Excel, Power BI",72000,Business,Google,12.975674637636097,77.78698652985614,https://linkedin.com/jobs/
Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Cryptography, JavaScript",2-5 Years,"Remix, Hardhat",115000,Software Development,Flipkart,13.017475185613119,77.74114051795561,https://linkedin.com/jobs/
Game Developer,"C++, C#, Unity, Unreal Engine, 3D Math, Physics",1-4 Years,"Unity, Unreal",78000,Game Development,Accenture,12.822120427323803,77.78155468035412,https://linkedin.com/jobs/
System Administrator,"Linux, Windows Server, Networking, Bash, PowerShell, Security",2-5 Years,"Putty, Wireshark",70000,Infrastructure,TCS,12.786208426824263,77.6750656792561,https://linkedin.com/jobs/
Technical Writer,"Technical Writing, Documentation, Markdown, API Documentation, English",1-4 Years,"Microsoft Word, Markdown",60000,Content,Goldman Sachs,12.925130880159985,77.70806488469401,https://linkedin.com/jobs/
Information Security Manager,"CISSP, Compliance, Risk Management, Security Leadership, Governance",7+ Years,GRC Tools,140000,Security,Microsoft,12.895962384344827,77.4389073038081,https://linkedin.com/jobs/
